Sec  SL  Slot  Cable  T0(BkgIntersect) T0err T0N p0  p1  p2  p3  p4(Bkg) xSigmHalf Err(p0  p1  p2  p3  p4)
2 5 5 4 4965.936  NaN  NaN 6.513 -0.0094 588.870 -0.1181 2.210 4986.074  NaN  NaN  NaN  NaN  NaN
2 5 5 5 5555.777 14973547.469  NaN 8.092 -0.0094 658.532 -0.1181 1.643 5575.915 1.988 2584.811 1.414 0.021 0.116
2 5 5 6 112.704 744.528 112.704 9.000 -0.0094 15.689 -0.1181 10.000 132.842 1.779 1.414 1.414 1.414 1.414
2 5 6 1 5752.915 8470.530  NaN 8.086 -0.0094 681.814 -0.1181 1.617 5773.053 1.987 1.414 1.414 0.021 0.116
2 5 6 2 5304.773 7838.334  NaN 8.102 -0.0094 628.887 -0.1181 1.990 5324.910 1.991 1.414 1.414 0.021 0.125
2 5 6 3 5799.558 8536.343  NaN 8.088 -0.0094 687.323 -0.1181 1.481 5819.695 1.987 1.414 1.414 0.021 0.117
2 5 6 4 3599.113 32020.108  NaN 8.114 -0.0304 159.667 -0.0461 1.531 3462.453 1.994 1.414 1.414 1.414 0.116
2 5 6 5 3580.556 24813.125  NaN 8.100 -0.0315 159.659 -0.0461 1.463 3461.972 1.990 1.414 1.414 1.414 0.112
2 5 6 6 5861.789 8624.155  NaN 8.088 -0.0094 694.673 -0.1181 1.478 5881.927 1.987 1.414 1.414 0.021 0.117
2 5 7 1 5419.578 8000.267  NaN 8.038 -0.0094 642.446 -0.1181 1.454 5439.716 1.972 1.414 1.414 0.023 0.112
2 5 7 2 3394.338 34299.667  NaN 8.100 -0.0310 155.973 -0.0480 1.497 3252.086 1.990 1.414 1.414 1260.220 0.117
2 5 7 3 5936.254 8729.234  NaN 8.109 -0.0094 703.467 -0.1181 1.580 5956.392 1.993 1.414 1.414 0.020 0.118
2 5 7 4 3814.763 33619.340  NaN 8.109 -0.0304 170.676 -0.0464 1.385 3674.803 1.993 1.414 1.414 2026.175 0.119
2 5 7 5 1485.022 6891491.338  NaN 8.627 -0.0221 161.487 -0.0452 1.490 3572.396 2.060 1.414 1.414 59.109 0.118
2 5 7 6 5788.334 8520.506  NaN 8.096 -0.0094 685.997 -0.1181 1.326 5808.472 1.989 1.414 1.414 0.021 0.125
2 6 1 1 3118.193  NaN 3118.529 7.068 -0.0094 370.646 -0.1181 1.105 3138.331  NaN  NaN  NaN  NaN  NaN
2 6 1 2 3725.657 13738.516 -Infinity 8.610 -0.0094 165.139 -0.0434 1.320 3806.989 2.061 1.414 1.414 1.414 0.113
2 6 1 3 644.197 0.256 644.197 9.000 -0.0113 309.109 -0.4766 10.633 648.603 1.858 0.000 54.582 0.084 0.333
2 6 1 4 3279.899 4986.814 3280.760 8.288 -0.0094 389.744 -0.1181 8.304 3300.037 2.034 1.414 1.414 0.025 0.235
2 6 1 5 3279.899 4986.814 3280.058 8.324 -0.0094 389.744 -0.1181 9.929 3300.037 2.041 1.414 1.414 0.196 0.257
2 6 1 6 3279.899 4986.814 3278.031 8.644 -0.0094 389.744 -0.1181 7.135 3300.037 2.059 1.414 1.414 0.012 0.218
2 6 2 1 3279.899 4986.814 3281.518 8.654 -0.0094 389.744 -0.1181 6.860 3300.037 2.058 1.414 1.414 0.017 0.214
2 6 2 2 3279.899 4986.814 3278.740 8.611 -0.0094 389.744 -0.1181 4.638 3300.037 2.061 1.414 1.414 0.012 0.176
2 6 2 3 3815.716 5740.206 -Infinity 8.157 -0.0094 453.025 -0.1181 3.739 3835.854 2.006 1.414 1.414 0.019 0.158
2 6 2 4 5695.893 8390.076  NaN 8.089 -0.0094 675.080 -0.1181 1.722 5716.031 1.987 1.414 1.414 0.021 0.116
2 6 2 5 5916.265 8701.026  NaN 8.088 -0.0094 701.106 -0.1181 1.406 5936.403 1.987 1.414 1.414 0.021 0.117
2 6 2 6 4430.163 594492.845  NaN 8.609 -0.0233 165.307 -0.0433 1.449 3818.240 2.061 1.414 1.414 115.321 0.108
2 6 3 1 3578.468 5406.470 -Infinity 8.251 -0.0094 425.006 -0.1181 3.257 3598.606 2.027 1.414 1.414 0.018 0.154
2 6 3 2 3373.404 5118.195 3371.209 8.333 -0.0094 400.787 -0.1181 3.775 3393.541 2.042 1.414 1.414 0.017 0.160
2 6 3 3 3305.148 5022.287 3306.891 8.345 -0.0094 392.726 -0.1181 3.347 3325.286 2.044 1.414 1.414 0.017 0.151
2 6 3 4 3279.899 4986.814 3279.272 8.363 -0.0094 389.744 -0.1181 3.555 3300.037 2.047 1.414 1.414 0.017 0.157
2 6 3 5 3491.632 5284.375 3490.728 8.285 -0.0094 414.750 -0.1181 3.387 3511.770 2.034 1.414 1.414 0.018 0.155
2 6 3 6 3493.089 5286.423 3502.838 8.286 -0.0094 414.922 -0.1181 3.508 3513.227 2.034 1.414 1.414 0.018 0.156
2 6 4 1 3321.592 5045.390 3323.215 8.352 -0.0094 394.668 -0.1181 3.816 3341.729 2.045 1.414 1.414 0.016 0.165
2 6 4 2 3279.899 4986.814 3280.642 8.412 -0.0094 389.744 -0.1181 3.874 3300.037 2.053 1.414 1.414 0.016 0.164
2 6 4 3 3419.284 5182.675 3418.003 8.317 -0.0094 406.206 -0.1181 3.677 3439.422 2.039 1.414 1.414 0.017 0.160
2 6 4 4 3641.325 5494.870 -Infinity 8.228 -0.0094 432.429 -0.1181 3.268 3661.463 2.022 1.414 1.414 0.019 0.156
2 6 4 5 3616.816  NaN -Infinity 8.228 -0.0094 429.535 -0.1181 2.997 3636.954 2.022  NaN 1.414 1.414 0.204
2 6 4 6 3752.441 5651.176 -Infinity 8.177 -0.0094 445.552 -0.1181 3.169 3772.579 2.010 1.414 1.414 0.020 0.150
2 6 5 1 3468.084 5251.270 3461.819 8.291 -0.0094 411.969 -0.1181 3.282 3488.221 2.035 1.414 1.414 0.018 0.151
2 6 5 2 3702.300 5580.638 -Infinity 8.195 -0.0094 439.631 -0.1181 3.078 3722.438 2.015 1.414 1.414 0.020 0.147
2 6 5 3 4951.595  NaN  NaN 6.515 -0.0094 587.176 -0.1181 2.378 4971.733  NaN  NaN  NaN  NaN  NaN
2 6 5 4 4319.899  NaN -Infinity 7.785 -0.0094 512.571 -0.1181 2.408 4340.037 1.882  NaN 1.414 1.414 0.188
2 6 5 5 4949.377  NaN  NaN 6.518 -0.0094 586.914 -0.1181 2.368 4969.515  NaN  NaN  NaN  NaN  NaN
2 6 5 6 5046.871 7474.632  NaN 8.094 -0.0094 598.428 -0.1181 1.952 5067.009 1.989 1.414 1.414 0.021 0.124
2 6 6 1 5857.892 8618.655  NaN 8.101 -0.0094 694.212 -0.1181 1.746 5878.030 1.991 1.414 1.414 0.021 0.116
2 6 6 2 5583.898 8232.069  NaN 8.079 -0.0094 661.853 -0.1181 1.652 5604.036 1.984 1.414 1.414 0.022 0.114
2 6 6 3 5272.904 7793.386  NaN 8.065 -0.0094 625.124 -0.1181 1.682 5293.041 1.980 1.414 1.414 0.022 0.117
2 6 6 4 6036.745 8871.046  NaN 8.132 -0.0094 715.335 -0.1181 1.860 6056.883 1.999 1.414 1.414 0.020 0.122
2 6 6 5 5732.874 8442.253  NaN 8.068 -0.0094 679.447 -0.1181 1.522 5753.012 1.981 1.414 1.414 0.022 0.111
2 6 6 6 5214.949 7711.650  NaN 8.077 -0.0094 618.279 -0.1181 1.670 5235.086 1.984 1.414 1.414 0.021 0.122
2 6 7 1 3699.268 13550.759 -Infinity 8.612 -0.0094 164.733 -0.0436 1.505 3779.935 2.061 1.414 1.414 1.414 0.115
2 6 7 2 3705.243 5443.876  NaN 8.619 -0.0799 163.323 -0.0443 1.363 3687.938 2.061 1.414 1.414 1.414 0.110
2 6 7 3 5986.381 8799.972  NaN 8.089 -0.0094 709.387 -0.1181 1.461 6006.519 1.987 1.414 1.414 0.021 0.119
2 6 7 4 3576.396 7248.528  NaN 8.631 -0.0441 160.785 -0.0456 1.483 3529.494 2.060 1.414 1.414 1.414 0.115
2 6 7 5 5899.006 8676.671  NaN 8.083 -0.0094 699.068 -0.1181 1.384 5919.144 1.985 1.414 1.414 0.021 0.116
2 6 7 6 5660.850 8340.635  NaN 8.103 -0.0094 670.941 -0.1181 1.396 5680.988 1.991 1.414 1.414 0.021 0.129
