#Sector  Superlayer  Slot  Cable  T0Correction  T0Error
2  6  1  1  160.000  0.206
2  6  1  2  160.000  0.206
2  6  1  3  160.000  0.206
2  6  1  4  160.000  0.206
2  6  1  5  160.000  0.206
2  6  1  6  160.000  0.206
2  6  2  1  160.000  0.206
2  6  2  2  160.000  0.206
2  6  2  3  160.000  0.206
2  6  2  4  160.000  0.206
2  6  2  5  160.000  0.206
2  6  2  6  160.000  0.206
2  6  3  1  160.000  0.206
2  6  3  2  160.000  0.206
2  6  3  3  160.000  0.206
2  6  3  4  160.000  0.206
2  6  3  5  160.000  0.206
2  6  3  6  160.000  0.206
2  6  4  1  160.000  0.206
2  6  4  2  160.000  0.206
2  6  4  3  160.000  0.206
2  6  4  4  160.000  0.206
2  6  4  5  160.000  0.206
2  6  4  6  160.000  0.206
2  6  5  1  160.000  0.206
2  6  5  2  160.000  0.206
2  6  5  3  160.000  0.206
2  6  5  4  160.000  0.206
2  6  5  5  160.000  0.206
2  6  5  6  160.000  0.206
2  6  6  1  160.000  0.206
2  6  6  2  160.000  0.206
2  6  6  3  160.000  0.206
2  6  6  4  160.000  0.206
2  6  6  5  160.000  0.206
2  6  6  6  160.000  0.206
2  6  7  1  160.000  0.206
2  6  7  2  160.000  0.206
2  6  7  3  160.000  0.206
2  6  7  4  160.000  0.206
2  6  7  5  160.000  0.206
2  6  7  6  160.000  0.206
